id;start_time;end_time;status;current_question_index
1;2024-10-12T14:17:06;2024-10-11T21:19:45;afternoon stepping-stone;2402
2;2024-10-12T01:43:17;2024-10-12T04:26:21;unaccountably;24489
3;2024-10-11T21:58:45;2024-10-12T07:19:09;furiously animate exocrine;17398
4;2024-10-11T15:15:54;2024-10-12T09:19:29;yuck before where;27451
5;2024-10-12T08:10:14;2024-10-11T20:18:44;what after criticism;16685
6;2024-10-12T14:00:56;2024-10-11T21:38:38;before sandpaper;5942
7;2024-10-12T06:44:38;2024-10-11T22:48:18;partridge barring yippee;14791
8;2024-10-12T07:53:00;2024-10-11T17:24:30;elegant clang psst;17952
9;2024-10-11T15:10:05;2024-10-12T08:25:57;snorkel provided after;31482
10;2024-10-12T01:13:59;2024-10-12T05:43:26;from embellished irritating;19443
