id;title;description;difficulty_level;is_published;publish_date
1;ack;../fake-data/blob/hipster.txt;9792;true;2024-03-26
2;disafforest uh-huh;../fake-data/blob/hipster.txt;14310;true;2024-03-26
3;sheepishly grit payoff;../fake-data/blob/hipster.txt;7356;true;2024-03-26
4;oof;../fake-data/blob/hipster.txt;5474;false;2024-03-26
5;reset gee excrete;../fake-data/blob/hipster.txt;19687;false;2024-03-26
6;zowie viciously;../fake-data/blob/hipster.txt;27959;false;2024-03-26
7;whose;../fake-data/blob/hipster.txt;5334;true;2024-03-26
8;hence quarrelsomely likewise;../fake-data/blob/hipster.txt;15228;false;2024-03-26
9;discharge through;../fake-data/blob/hipster.txt;10458;false;2024-03-26
10;chatter from midst;../fake-data/blob/hipster.txt;22735;false;2024-03-26
