id;start_time;end_time;score
1;2024-03-26T03:41:41;2024-03-26T13:58:15;26981
2;2024-03-26T16:09:47;2024-03-26T18:04:01;17863
3;2024-03-26T11:39:18;2024-03-26T00:30:03;13161
4;2024-03-26T07:35:54;2024-03-26T20:16:52;20901
5;2024-03-26T20:14:01;2024-03-26T14:28:28;1718
6;2024-03-26T15:51:57;2024-03-26T05:07:17;24390
7;2024-03-26T12:31:06;2024-03-26T16:32:43;14202
8;2024-03-26T00:15:14;2024-03-26T06:10:09;15
9;2024-03-26T08:22:54;2024-03-26T05:45:09;16663
10;2024-03-26T17:33:37;2024-03-26T05:25:35;4044
